Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,10.650000,10.830000,10.580000,10.800000,10.800000,47702300
2021-01-04,10.890000,10.900000,10.400000,10.470000,10.470000,79949500
2021-01-05,10.430000,10.880000,10.420000,10.770000,10.770000,83700300
2021-01-06,10.830000,11.620000,10.830000,11.360000,11.360000,131584600
2021-01-07,11.560000,11.570000,11.240000,11.270000,11.270000,75289800
2021-01-08,11.290000,11.440000,11.160000,11.340000,11.340000,72719700
2021-01-11,11.110000,11.530000,11.060000,11.450000,11.450000,67396900
2021-01-12,11.510000,11.910000,11.410000,11.780000,11.780000,91439300
2021-01-13,11.780000,11.820000,11.520000,11.570000,11.570000,53713600
2021-01-14,11.610000,11.730000,11.580000,11.660000,11.660000,59209500
2021-01-15,11.600000,11.600000,11.250000,11.330000,11.330000,73609500
2021-01-19,11.480000,11.650000,11.400000,11.430000,11.430000,63499400
2021-01-20,11.500000,11.500000,11.300000,11.390000,11.390000,59015900
2021-01-21,11.400000,11.430000,11.070000,11.070000,11.070000,65742200
2021-01-22,10.970000,11.180000,10.900000,11.110000,11.110000,52919400
2021-01-25,11.140000,11.150000,10.770000,10.990000,10.990000,92020900
2021-01-26,12.030000,12.230000,11.200000,11.290000,11.290000,211803400
2021-01-27,11.080000,11.560000,10.640000,11.380000,11.380000,149439900
2021-01-28,11.410000,11.470000,11.070000,11.090000,11.090000,94099300
2021-01-29,11.000000,11.240000,10.670000,10.680000,10.680000,108995100
2021-02-01,10.860000,11.000000,10.640000,10.740000,10.740000,66685800
2021-02-02,10.880000,11.350000,10.840000,11.240000,11.240000,84465900
2021-02-03,11.240000,11.300000,11.070000,11.200000,11.200000,54214800
2021-02-04,11.230000,11.500000,11.190000,11.450000,11.450000,66767800
2021-02-05,11.510000,11.550000,11.320000,11.400000,11.400000,51767300
2021-02-08,11.470000,11.650000,11.410000,11.610000,11.610000,42454500
2021-02-09,11.560000,11.600000,11.410000,11.540000,11.540000,52738300
2021-02-10,11.590000,11.590000,11.380000,11.400000,11.400000,45559900
2021-02-11,11.390000,11.470000,11.190000,11.460000,11.460000,51742800
2021-02-12,11.410000,11.740000,11.380000,11.730000,11.730000,58371600
2021-02-16,11.820000,11.980000,11.780000,11.970000,11.970000,60312000
2021-02-17,11.840000,11.950000,11.760000,11.860000,11.860000,42940100
2021-02-18,11.840000,11.860000,11.510000,11.630000,11.630000,48854600
2021-02-19,11.720000,12.030000,11.680000,12.020000,12.020000,61049000
2021-02-22,12.070000,12.700000,12.030000,12.500000,12.500000,96636300
2021-02-23,12.600000,12.650000,12.180000,12.590000,12.590000,72042500
2021-02-24,12.800000,13.350000,12.650000,13.120000,13.120000,106791000
2021-02-25,13.100000,13.270000,12.660000,12.760000,12.760000,92337300
2021-02-26,12.680000,12.840000,12.410000,12.540000,12.540000,88613600
2021-03-01,12.920000,13.290000,12.790000,13.110000,13.110000,77887200
2021-03-02,13.150000,13.250000,12.970000,12.985000,12.985000,71098901
